category_name,url,img,div_id,div_class,price
CN,https://jiafengfilter.en.alibaba.com/company_profile.html,https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png,,searchx-product-e-popper__trigger,
CN,https://anmaindustry.en.alibaba.com/company_profile.html,https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png,,searchx-product-e-popper__trigger,
CN,https://gzqiaoshi.en.alibaba.com/company_profile.html,https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png,,searchx-product-e-popper__trigger,
CN,https://3rhb.en.alibaba.com/company_profile.html,https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png,,searchx-product-e-popper__trigger,
CN,https://sainsd.en.alibaba.com/company_profile.html,https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png,,searchx-product-e-popper__trigger,
CN,https://yatetech.en.alibaba.com/company_profile.html,https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png,,searchx-product-e-popper__trigger,
CN,https://jiafengfilter.en.alibaba.com/company_profile.html,https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png,,searchx-product-e-popper__trigger,
CN,https://caraccessories.en.alibaba.com/company_profile.html,https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png,,searchx-product-e-popper__trigger,
CN,https://cbllighting.en.alibaba.com/company_profile.html,https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png,,searchx-product-e-popper__trigger,
CN,https://silicone-supplier.en.alibaba.com/company_profile.html,https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png,,searchx-product-e-popper__trigger,
CN,https://gzqiaoshi.en.alibaba.com/company_profile.html,https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png,,searchx-product-e-popper__trigger,
CN,https://autoways.en.alibaba.com/company_profile.html,https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png,,searchx-product-e-popper__trigger,
CN,https://hhfiberglass.en.alibaba.com/company_profile.html,https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png,,searchx-product-e-popper__trigger,
CN,https://cnfzx.en.alibaba.com/company_profile.html,https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png,,searchx-product-e-popper__trigger,
CN,https://diinii.en.alibaba.com/company_profile.html,https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png,,searchx-product-e-popper__trigger,
CN,https://xfautopart.en.alibaba.com/company_profile.html,https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png,,searchx-product-e-popper__trigger,
CN,https://jrxk.en.alibaba.com/company_profile.html,https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png,,searchx-product-e-popper__trigger,
CN,https://mico2025.en.alibaba.com/company_profile.html,https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png,,searchx-product-e-popper__trigger,
CN,https://nbtopever.en.alibaba.com/company_profile.html,https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png,,searchx-product-e-popper__trigger,
CN,https://bestop168.en.alibaba.com/company_profile.html,https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png,,searchx-product-e-popper__trigger,
